Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
49800	-647.3871	-630.2256	-17.16156	0.3114537	0.995455	0.00424784	0.000296924	0.04761292
50000	-652.9694	-636.0134	-16.95601	0.3241103	0.976698	0.0178604	0.0054414	0.02168062
50200	-653.3667	-636.719	-16.6477	0.3162835	0.994822	0.00250946	0.00266889	0.003067019
50400	-657.0544	-640.2319	-16.82245	0.3170102	0.983589	0.00674654	0.00966461	0.01690925
50600	-650.6835	-633.6229	-17.06063	0.2803263	0.99413	0.00464117	0.00122928	0.06652338
50800	-650.9174	-633.9022	-17.01519	0.327568	0.997434	0.00177417	0.000792291	0.02373273
51000	-656.8062	-639.1742	-17.63191	0.3197571	0.995155	0.000496466	0.00434867	0.080255
51200	-646.3024	-629.3306	-16.97186	0.3172818	0.995082	0.00218098	0.00273667	0.02901579
51400	-652.5828	-635.1801	-17.40271	0.3299531	0.995999	0.000439971	0.0035608	0.05336404
51600	-653.1079	-636.3887	-16.71911	0.3175647	0.989843	0.00965529	0.000501774	0.007768158
51800	-660.3075	-642.6869	-17.62061	0.2979912	0.994433	0.000644622	0.004922	0.09852921
52000	-649.8913	-633.5107	-16.38059	0.2832839	0.99409	0.00103215	0.00487757	0.008064404
52200	-652.8063	-635.3381	-17.46824	0.3614691	0.989637	0.00498933	0.00537412	0.0335151
52400	-652.7064	-635.3791	-17.32735	0.3140355	0.995958	0.000233157	0.00380856	0.05864796
52600	-652.2048	-635.3399	-16.86493	0.2832259	0.995481	0.00184497	0.00267399	0.0462485
52800	-651.6731	-634.7344	-16.93872	0.2904705	0.992008	0.00172681	0.0062655	0.04787129
53000	-654.5446	-635.3661	-19.17854	0.3099683	0.997338	0.00195649	0.000705143	0.211196
53200	-653.0895	-635.0945	-17.99505	0.3519564	0.994352	0.00403435	0.00161386	0.0818378
53400	-650.6964	-632.7336	-17.96288	0.3225676	0.995249	0.00344516	0.00130569	0.1097416
53600	-646.5208	-628.9986	-17.52216	0.3114701	0.997105	0.00236703	0.000528043	0.07950637
