Iteration	Posterior	Likelihood	Prior	branch_rates	q[1]	q[2]	q[3]	speciation_rate
55000	-293.4338	-273.2452	-20.18857	2.307579	0.185628	0.0687739	0.745598	0.02083394
55200	-296.4775	-275.6636	-20.81389	2.332822	0.172558	0.0596863	0.767756	0.05737581
55400	-296.7782	-279.1873	-17.59088	2.063737	0.205155	0.186959	0.607886	0.005329958
55600	-292.3241	-273.8738	-18.45031	2.136919	0.174087	0.00724614	0.818667	0.01761228
55800	-297.5606	-283.3955	-14.16508	1.637445	0.239906	4.49288e-05	0.760049	0.08712005
56000	-294.3306	-279.5983	-14.73231	1.702486	0.234301	0.0208786	0.74482	0.07767807
56200	-293.1249	-279.0567	-14.06822	1.672492	0.251123	0.00422199	0.744655	0.04243208
56400	-295.3269	-273.5537	-21.7732	2.235556	0.177244	0.0193219	0.803434	0.2448705
56600	-297.9346	-277.7706	-20.16403	2.125136	0.218496	0.126606	0.654898	0.1970657
56800	-295.9477	-276.001	-19.94674	2.214967	0.167699	0.115502	0.716799	0.08731802
57000	-297.6404	-268.8732	-28.76721	3.169951	0.165993	0.280361	0.553645	0.01660945
57200	-293.49	-271.4324	-22.05756	2.415784	0.176902	0.00232707	0.820771	0.0982105
57400	-294.8758	-272.0567	-22.81911	2.508298	0.187688	0.0406066	0.771706	0.08189843
